0000000001,123 Sukhumvit Road,Bangkok,Klong Toey,10110,0623456789
0000000002,456 Ratchadaphisek Road,Bangkok,Huai Khwang,10310,0629876543
0000000003,789 Sathorn Road,Bangkok,Bang Rak,10500,0621567890
0000000004,1010 Pradit Manutham Road,Bangkok,Wang Thonglang,10310,0628901234
0000000005,1313 Rama IV Road,Bangkok,Klong Toey,10110,0623456789
0000000006,1616 Charoen Krung Road,Bangkok,Bang Kho Laem,10120,
0000000007,1919 Ratchadamri Road,Bangkok,Pathum Wan,10330,0621234567
0000000008,2222 Phetchaburi Road,Bangkok,Ratchathewi,10400,0627890123
0000000009,2525 Sukhumvit Road,Bangkok,Watthana,10110,0622345678
0000000010,2828 Prachachuen Road,Bangkok,Bang Sue,10800,0625678901
0000000011,3131 Lat Phrao Road,Bangkok,Wang Thonglang,10310,0629012345
0000000012,3434 Phahonyothin Road,Bangkok,Chatuchak,10900,0628765432
0000000013,3737 Wireless Road,Bangkok,Lumpini,10330,
0000000014,4040 Silom Road,Bangkok,Bang Rak,10500,0620987654
0000000015,4343 Vibhavadi Rangsit Road,Bangkok,Chatuchak,10900,0627890123
0000000016,4646 Ploenchit Road,Bangkok,Lumpini,10330,0626543210
0000000017,4949 Phetkasem Road,Bangkok,Bang Khae,10160,0624567890
0000000018,5252 Ngamwongwan Road,Bangkok,Nonthaburi,11000,0627890123
0000000019,5555 Tiwanon Road,Bangkok,Nonthaburi,11000,0623456789
0000000020,5858 Chaengwattana Road,Bangkok,Pak Kret,11120,
0000000021,6161 Srinakarin Road,Bangkok,Nong Bon,10250,0621234567
0000000022,6464 Pahonyothin Road,Bangkok,Chatuchak,10900,0627890123
0000000023,6767 Ratchaphruek Road,Bangkok,Taling Chan,10170,
0000000024,7070 Sukhumvit Road,Bangkok,Watthana,10110,0629012345
0000000025,7373 Prachachuen Road,Bangkok,Bang Sue,10800,
0000000026,7676 Lat Phrao Road,Bangkok,Wang Thonglang,10310,
0000000027,7979 Charoen Krung Road,Bangkok,Bang Kho Laem,10120,0620987654
0000000028,8282 Rama IV Road,Bangkok,Klong Toey,10110,
0000000029,8585 Phra Athit Road,Bangkok,Phra Nakhon,10200,0629876543
0000000030,8888 Sathorn Road,Bangkok,Bang Rak,10500,0628765432
0000000031,9191 Ratchadamri Road,Bangkok,Pathum Wan,10330,0622345678
0000000032,9494 Pradit Manutham Road,Bangkok,Wang Thonglang,10310,0625678901
0000000033,9797 Phetchaburi Road,Bangkok,Ratchathewi,10400,0626543210
0000000034,10101 Wireless Road,Bangkok,Lumpini,10330,
0000000035,104104 Silom Road,Bangkok,Bang Rak,10500,0621567890
0000000036,107107 Vibhavadi Rangsit Road,Bangkok,Chatuchak,10900,0623456789
0000000037,110110 Ploenchit Road,Bangkok,Lumpini,10330,0620987654
0000000038,113113 Phetkasem Road,Bangkok,Bang Khae,10160,0621234567
0000000039,116116 Ngamwongwan Road,Bangkok,Nonthaburi,11000,0625678901
0000000040,119119 Tiwanon Road,Bangkok,Nonthaburi,11000,
0000000041,122122 Chaengwattana Road,Bangkok,Pak Kret,11120,0629012345
0000000042,125125 Srinakarin Road,Bangkok,Nong Bon,10250,
0000000043,128128 Pahonyothin Road,Bangkok,Chatuchak,10900,0622345678
0000000044,131131 Ratchaphruek Road,Bangkok,Taling Chan,10170,0629876543
