0000000001,Debby,Loker,1/27/1950,hKOacZ0rBf7TbqP,6391555647,1/5/1970
0000000002,Ransell,Tunnoch,2/5/1950,Ou1V291JsGHqpdr,9627233131,1/16/1970
0000000003,Luisa,Dabbes,2/7/1950,8pjqoQpzjUueyyr,6338735285,2/16/1970
0000000004,Frederico,Pencost,3/6/1950,GIOZ3eiTKtyktjs,5633308686,3/12/1970
0000000005,Jennifer,Plevey,3/30/1950,zzufoOVcZStjak1,4183637395,3/24/1970
0000000006,Tresa,Lexa,4/3/1950,ud4LplLYXbzFlXF,9284814541,3/28/1970
0000000007,Celesta,Swansborough,4/10/1950,hHR439dpXT9iiR3,4114762361,3/28/1970
0000000008,Coretta,Richt,5/6/1950,Ak4pOrrTGVyuUvI,2839751984,3/30/1970
0000000009,Jobina,Kristof,5/15/1950,fHA9Xn3PGIpvKRb,7626554010,4/22/1970
0000000010,Edie,Skydall,5/21/1950,2S8Al6zMlVBVgi1,4022937286,6/24/1970
0000000011,Florina,Rait,6/26/1950,eA72rp2FvXzrOSD,4234609317,7/28/1970
0000000012,Vannie,Genge,7/1/1950,2lFc8y6o12DdbwH,1359221566,8/16/1970
0000000013,Tobey,Kitley,7/23/1950,XVdhFzy4VsTprUh,4874413433,8/17/1970
0000000014,Osborn,Teesdale,7/30/1950,ojQBxXpqJwa3R1g,3486241198,8/24/1970
0000000015,Jarrid,Yakobowitch,8/20/1950,Q11z3fuV8x9oKwH,4867570091,9/9/1970
0000000016,Zsazsa,Ayerst,8/26/1950,syDfQSL1zVZpRL4,8537362453,10/8/1970
0000000017,Andreana,Beeken,10/8/1950,iChaEZkOyJvOOyf,5321043621,11/6/1970
0000000018,Darla,Hitcham,10/14/1950,77D3icm33J23f38,7242011802,11/17/1970
0000000019,Daveta,Daughton,11/21/1950,Jr82zh8NKH8DqnF,3303233484,11/21/1970
0000000020,Angelo,Marshall,12/29/1950,Q6lSo0Lp0qBeNh6,9813699089,11/27/1970
0000000021,Rustie,Larcher,1/23/1951,Um5zYy859sRxp0i,8331640785,12/16/1970
0000000022,Barnaby,Gair,2/14/1951,B7TCKLGoIOTRFGA,6114706008,12/22/1970
0000000023,Erv,Shelsher,2/26/1951,sPzdkmdXTA8v8ww,4993045988,12/23/1970
0000000024,Ellwood,Dash,2/28/1951,hF4iUHl0d1zmdO2,6542971761,1/8/1971
0000000025,Florentia,Firebrace,6/4/1951,P1jj5NkZ1Yf2fLR,2299961444,2/1/1971
0000000026,Claire,Levesque,6/17/1951,FMxn6WvRUszWPWj,5451691437,4/3/1971
0000000027,Jenine,Wynter,6/25/1951,SSxCWqIwweNEPlH,7896805002,4/17/1971
0000000028,George,Sikorsky,7/4/1951,miC1RbPN0WZZIBg,3395694134,4/19/1971
0000000029,Zarla,Ebdin,8/14/1951,WlpVuCKSGPecLAv,3377106257,5/29/1971
0000000030,Charissa,Wragge,8/16/1951,RYAsnVRKZba9RYt,9659264629,6/7/1971
0000000031,Joachim,Worviell,9/7/1951,svByfag9NHGey47,7107161539,6/27/1971
0000000032,Jeana,Bluschke,9/9/1951,lJWk6xFqYVVAmCQ,1133930616,6/29/1971
0000000033,Meade,Finnis,9/16/1951,Chtf8212yiJ7SOk,3899370860,7/27/1971
0000000034,Pooh,McOnie,9/27/1951,a7TpMJngdw7ki2z,3934709564,8/30/1971
0000000035,Junie,Humbell,10/2/1951,aOrjzQrywm4bnPG,7319660679,9/15/1971
0000000036,Karisa,Velten,11/6/1951,rNvnoyjlBy27zXn,9487469137,10/25/1971
0000000037,Michelle,Wheldon,11/14/1951,siKBScpOeK3lpMY,8913341783,12/5/1971
0000000038,Josefina,Petch,12/25/1951,LN5e92joajRXD2B,5828159560,1/1/1972
0000000039,Matias,Steger,1/2/1952,ZQW1CfS6DiRFrSq,4448545415,1/1/1972
0000000040,Anne,Ladley,1/10/1952,Bsb1cOLzjZHL2WH,4769895348,1/14/1972
0000000041,Guss,Tows,2/14/1952,wSgQRmkpGr5w6aE,1056095730,1/27/1972
0000000042,Cathy,Schulke,3/23/1952,E0jZjhJNeD1i7TL,3651584602,2/7/1972
0000000043,Traver,Mapson,4/9/1952,VLnbL87XNJBptAz,6701218667,3/13/1972
0000000044,Krystle,Nolton,4/22/1952,LROjMYjhZMqIGzv,4545116809,4/16/1972
0000000045,Poppy,Beevis,5/6/1952,ZZ9HtMHRcYGBFVP,1599610304,4/25/1972
0000000046,Drucill,Hubatsch,5/18/1952,wQ7jhv7ZeD9VXNY,6662258255,5/1/1972
0000000047,Aundrea,Foskett,5/28/1952,CAb3uyQfaoSSGHy,7998441539,5/21/1972
0000000048,Jean,Romanelli,6/20/1952,4sX8selaRdKq2dR,8698914782,7/13/1972
0000000049,Chas,Hallgate,6/30/1952,IY4SoqmKHrYhV9v,7247809972,7/27/1972
0000000050,Sorcha,Jagson,9/11/1952,xy0W7lsjfN7D512,5084135044,8/27/1972
0000000051,Ruthe,Hemstead,9/29/1952,GkDRiNZIdg4MH7P,2318117083,9/28/1972
0000000052,Shanda,Leindecker,11/9/1952,zNYc1U485InERHX,8431099719,12/1/1972
0000000053,Pennie,Berrigan,11/20/1952,JBFcHl7PiHOOBp1,6163668986,1/22/1973
